dataset,protocol,method,category,metric,value,n,ci95_low,ci95_high,ci_method,source,comparability
Tetris rotation,test_ood_angle; current GPT fixed balanced n=100 subset,FoT flow+PPO (legacy),ours,accuracy,0.5616666666666666,1000/seed × 3 seeds,0.49914552615314833,0.624187807180185,student_t_over_independent_seeds,baseline_archives/mps_paper_suite_2026-08-03/audit.json,matched
Tetris rotation,test_ood_angle; current GPT fixed balanced n=100 subset,CNN trained on task,trained local,accuracy,0.87,1000/seed × 3 seeds,0.7772772556902388,0.9627227443097612,student_t_over_independent_seeds,baseline_archives/mps_paper_suite_2026-08-03/audit.json,matched
Tetris rotation,test_ood_angle; current GPT fixed balanced n=100 subset,ViT trained on task,trained local,accuracy,0.5683333333333334,1000/seed × 3 seeds,0.2673659016399505,0.8693007650267162,student_t_over_independent_seeds,baseline_archives/mps_paper_suite_2026-08-03/audit.json,matched
Tetris rotation,test_ood_angle; current GPT fixed balanced n=100 subset,DINOv3 frozen + trained head,trained local,accuracy,0.612,1000/seed × 3 seeds,0.5601254952666213,0.6638745047333787,student_t_over_independent_seeds,baseline_archives/mps_paper_suite_2026-08-03/audit.json,matched
Tetris rotation,test_ood_angle; current GPT fixed balanced n=100 subset,GPT-5.6 Sol (high),direct frontier VLM,accuracy,0.72,100,0.6251197129007884,0.7986031478881379,wilson_over_items,gpt-5.6-sol_partial_results.json,matched
Tetris rotation,"procedural random sample, seed 0",gpt-4o-mini,direct historical VLM,accuracy,0.524,500,0.48020822109105976,0.5674258105667859,wilson_over_items,historical_direct_vlm_results.json,"same task distribution, different item set"
Tetris rotation,"procedural random sample, seed 0",claude-opus-4-6,direct historical VLM,accuracy,0.462,500,0.41875629515879303,0.505823154716285,wilson_over_items,historical_direct_vlm_results.json,"same task distribution, different item set"
Colored rotation,test_ood_angle; current GPT fixed balanced n=100 subset,FoT flow+PPO (legacy),ours,accuracy,0.5333333333333333,1000/seed × 3 seeds,0.44347260756222073,0.6231940591044459,student_t_over_independent_seeds,baseline_archives/mps_paper_suite_2026-08-03/audit.json,matched
Colored rotation,test_ood_angle; current GPT fixed balanced n=100 subset,CNN trained on task,trained local,accuracy,0.6766666666666667,1000/seed × 3 seeds,0.6728717773694964,0.6804615559638371,student_t_over_independent_seeds,baseline_archives/mps_paper_suite_2026-08-03/audit.json,matched
Colored rotation,test_ood_angle; current GPT fixed balanced n=100 subset,ViT trained on task,trained local,accuracy,0.5896666666666667,1000/seed × 3 seeds,0.5534657300105831,0.6258676033227503,student_t_over_independent_seeds,baseline_archives/mps_paper_suite_2026-08-03/audit.json,matched
Colored rotation,test_ood_angle; current GPT fixed balanced n=100 subset,DINOv3 frozen + trained head,trained local,accuracy,0.508,1000/seed × 3 seeds,0.49248531286167846,0.5235146871383216,student_t_over_independent_seeds,baseline_archives/mps_paper_suite_2026-08-03/audit.json,matched
Colored rotation,test_ood_angle; current GPT fixed balanced n=100 subset,GPT-5.6 Sol (high),direct frontier VLM,accuracy,0.98,100,0.929988209271456,0.9944980324498376,wilson_over_items,gpt-5.6-sol_partial_results.json,matched
Colored rotation,"procedural random sample, seed 0",gpt-4o-mini,direct historical VLM,accuracy,0.5,500,0.4563412653024843,0.5436587346975157,wilson_over_items,historical_direct_vlm_results.json,"same task distribution, different item set"
Colored rotation,"procedural random sample, seed 0",claude-opus-4-6,direct historical VLM,accuracy,0.516,500,0.4722414643366831,0.5595145567685472,wilson_over_items,historical_direct_vlm_results.json,"same task distribution, different item set"
Ganis-Kievit 3-D,full n=78,Frozen trajectory flow (colored source),ours,accuracy,0.6153846153846154,78/seed × 3 seeds,0.5050512820512821,0.7257179487179487,student_t_over_independent_seeds,neurreps_flow_v1/ganis3d_zero_shot/zero_shot_results.json,matched
Ganis-Kievit 3-D,full n=78,DINOv3 frozen + trained head,trained local,accuracy,0.5042735042735043,78/seed × 3 seeds,0.4858846153846154,0.522662393162393,student_t_over_independent_seeds,baseline_archives/mps_paper_suite_2026-08-03/audit.json,matched
Ganis-Kievit 3-D,full n=78,ViperGPT program-of-tools,tool baseline,accuracy,0.6538461538461539,78/seed × 3 seeds,0.6538461538461539,0.6538461538461539,student_t_over_independent_seeds,baseline_archives/mps_paper_suite_2026-08-03/audit.json,matched
Ganis-Kievit 3-D,full n=78,GPT-5.6 Sol (high; partial),direct frontier VLM,accuracy,0.5733333333333334,75/78 cached,0.46052792329276937,0.6789925798097526,wilson_over_items,gpt-5.6-sol_partial_results.json,incomplete due provider credit exhaustion; excluded from headline claims
Ganis-Kievit 3-D,full n=78; shuffled order,gpt-4o-mini,direct historical VLM,accuracy,0.5,78,0.39167432239746397,0.608325677602536,wilson_over_items,historical_direct_vlm_results.json,matched
